Name,Matches,Inngs,AvgRns,SR,Hunds,Fifties,TotRuns,MaxRun1Inng
Virat Kohli,115,107,52.73,137.96,1,37,4008,107
Rohit Sharma,150,142,30.82,139.09,4,29,3853,142
KL Rahul,72,68,37.75,139.12,2,22,2265,68
Suryakumar Yadav,56,50,46.02,172.7,3,15,1841,50
Shikhar Dhawan,68,66,27.92,126.36,0,11,1759,66
MS Dhoni,98,85,37.6,126.13,0,2,1617,85
Suresh Raina,78,66,29.18,134.87,1,5,1605,66
Hardik Pandya,92,71,25.43,139.83,0,3,1348,71
Yuvraj Singh,58,51,28.02,136.38,0,8,1177,51
Shreyas Iyer,51,47,30.66,136.12,0,8,1104,47
Rishabh Pant,66,56,22.43,126.37,0,3,987,56
Gautam Gambhir,37,36,27.41,119.02,0,7,932,36
Ishan Kishan,32,32,25.67,124.37,0,6,796,32
Manish Pandey,39,33,44.31,126.15,0,3,709,33
Dinesh Karthik,60,48,26.38,142.61,0,1,686,48
Ruturaj Gaikwad,19,17,35.71,140.05,1,3,500,17
Ravindra Jadeja,66,36,22.85,125.32,0,0,480,36
Yashasvi Jaiswal,16,14,33.07,159.25,1,3,430,14
Virender Sehwag,19,18,21.88,145.38,0,2,394,18
Ajinkya Rahane,20,20,20.83,113.29,0,1,375,20
Sanju Samson,24,21,19.68,133.57,0,1,374,21
Deepak Hooda,21,17,30.66,147.2,1,0,368,17
Axar Patel,52,31,19,144.4,0,1,361,31
Tilak Varma,16,15,33.6,139.41,0,2,336,15
Shubman Gill,14,13,26,145.11,1,1,312,13
Rinku Singh,13,9,69.5,180.51,0,1,278,9
Robin Uthappa,13,12,24.9,118,0,1,249,12
Yusuf Pathan,22,18,18.15,146.58,0,0,236,18
Shivam Dube,20,12,35.33,139.47,0,2,212,12
Ravichandran Ashwin,65,19,26.28,114.99,0,0,184,19
Irfan Pathan,24,14,24.57,119.44,0,0,172,14
Murali Vijay,9,9,18.77,109.74,0,0,169,9
Venkatesh Iyer,9,7,33.25,162.19,0,0,133,7
Krunal Pandya,19,10,24.8,130.52,0,0,124,10
Kedar Jadhav,9,6,20.33,123.23,0,1,122,6
Harbhajan Singh,28,13,13.5,124.13,0,0,108,13
Washington Sundar,41,15,10.7,150.7,0,1,107,15
Vijay Shankar,9,4,25.25,138.35,0,0,101,4
Rahul Tripathi,5,5,19.4,144.77,0,0,97,5
Mandeep Singh,3,3,43.5,119.17,0,1,87,3
Harshal Patel,25,10,12.83,135.08,0,0,77,10
Shardul Thakur,25,6,23,181.57,0,0,69,6
Bhuvneshwar Kumar,87,21,8.37,71.27,0,0,67,21
Deepak Chahar,25,7,26.5,189.28,0,0,53,7
Kuldeep Yadav,34,7,11.5,77.96,0,0,46,7
S Badrinath,1,1,43,116.21,0,0,43,1
Ambati Rayudu,6,5,10.5,84,0,0,42,5
Devdutt Padikkal,2,2,19,100,0,0,38,2
Dinesh Mongia,1,1,38,84.44,0,0,38,1
Parthiv Patel,2,2,18,112.5,0,0,36,2
Stuart Binny,3,2,17.5,120.68,0,0,35,2
Arshdeep Singh,44,12,8.5,125.92,0,0,34,12
Rahul Dravid,1,1,31,147.61,0,0,31,1
Ashish Nehra,27,5,5.6,71.79,0,0,28,5
Shivam Mavi,6,2,14,155.55,0,0,28,2
Ravi Bishnoi,23,6,6,171.42,0,0,24,6
Ashok Dinda,9,2,22,91.66,0,0,22,2
Umesh Yadav,9,2,22,104.76,0,0,22,2
Sreesanth,10,3,20,142.85,0,0,20,3
Ajit Agarkar,4,2,7.5,136.36,0,0,15,2
Manoj Tiwary,3,1,15,88.23,0,0,15,1
Nitish Rana,2,2,7.5,55.55,0,0,15,2
Zaheer Khan,17,4,6.5,130,0,0,13,4
Navdeep Saini,11,3,0,109.09,0,0,12,3
Naman Ojha,2,2,6,44.44,0,0,12,2
Avesh Khan,19,4,11,137.5,0,0,11,4
Pragyan Ojha,6,1,0,166.66,0,0,10,1
Sachin Tendulkar,1,1,10,83.33,0,0,10,1
Jasprit Bumrah,62,7,4,61.53,0,0,8,7
Ishant Sharma,14,3,8,88.88,0,0,8,3
Praveen Kumar,10,3,2.33,43.75,0,0,7,3
Yuzvendra Chahal,80,6,3,46.15,0,0,6,6
Mukesh Kumar,11,3,0,250,0,0,5,3
Mohammed Siraj,10,1,5,71.42,0,0,5,1
Umran Malik,8,2,0,250,0,0,5,2
Rahul Chahar,6,1,5,100,0,0,5,1
Chetan Sakariya,2,1,0,55.55,0,0,5,1
Parvez Rasool,1,1,5,83.33,0,0,5,1
RP Singh,10,2,0,100,0,0,3,2
Mohit Sharma,8,2,0,42.85,0,0,3,2
Vinay Kumar,9,1,0,50,0,0,2,1
Khaleel Ahmed,14,1,0,100,0,0,1,1
Sandeep Sharma,2,1,0,100,0,0,1,1
Dhawal Kulkarni,2,1,0,100,0,0,1,1
Rishi Dhawan,1,1,0,50,0,0,1,1